"termo_vcge_1","sit","termo_vcge_2A","termo_vcge_2B"
"Tecnologia educacional","H","Educação","Educação"
"Métodos de aprendizagem","H","Educação","Educação"
"Métodos de ensino","H","Educação","Educação"
"Parâmetros e diretrizes curriculares nacionais","H","Educação","Educação"
"Profissionais da educação","H","Educação","Educação"
"Apoio escolar","H","Educação","Educação"
"Alimentação escolar","H","Educação","Educação"
"Infraestrutura material e ambiental","H","Educação","Educação"
"Multimeios didáticos","H","Educação","Educação"
"Secretaria escolar","H","Educação","Educação"
"Magistério","H","Educação","Educação"
"Especialista em educação","H","Educação","Educação"
"Professor","H","Educação","Educação"
"Sistema educacional - Avaliação","H","Educação","Educação"
"Estatísticas educacionais","H","Educação","Educação"
"Indicadores educacionais","H","Educação","Educação"
"Governo e Política","C","Administração","Administração"
"Administração pública","H","Administração","Administração"
"Atendimento ao cidadão","C","Administração/Serviços Públicos","Serviços Públicos"
"Protocolo","H","Administração/Serviços Públicos","Serviços Públicos"
"Compras governamentais","C","Administração/Compras governamentais","Compras governamentais"
"Licitação","H","Administração/Compras governamentais","Compras governamentais"
"Pregão","H","Administração/Compras governamentais","Compras governamentais"
"Controle social e prestação de contas","C","Administração/Fiscalização do Estado","Fiscalização do Estado"
"Consulta publica","H","Administração/Fiscalização do Estado","Fiscalização do Estado"
"Indicadores","H","Administração/Fiscalização do Estado","Fiscalização do Estado"
"Orçamento participativo","H","Administração/Fiscalização do Estado","Fiscalização do Estado"
"Prestação de contas","H","Administração/Fiscalização do Estado","Fiscalização do Estado"
"Ética publica","H","Administração","Administração"
"Código de conduta","H","Administração","Administração"
"Procedimento administrativo disciplinar","H","Administração","Administração"
"Regime de quarentena","H","Administração","Administração"
"Legislação e normas","H","Administração","Administração"
"Patrimônio da união","C","Administração/Patrimônio","Patrimônio"
"Planejamento e orçamento","C","Administração/Planejamento","Planejamento"
"Orçamento do estado","H","Administração/Planejamento","Planejamento"
"Execução orçamentária e financeira","H","Administração/Planejamento","Planejamento"
"Realização orçamentária e financeira","H","Administração/Planejamento","Planejamento"
"Planejamento estratégico","H","Administração/Planejamento","Planejamento"
"Plano plurianual","H","Administração/Planejamento","Planejamento"
"Recursos humanos","C","Administração/Recursos humanos","Recursos humanos"
"Capacitação","H","Administração/Recursos humanos","Recursos humanos"
"Concursos","H","Administração/Recursos humanos","Recursos humanos"
"Estagio","H","Administração/Recursos humanos","Recursos humanos"
"Remuneração","H","Administração/Recursos humanos","Recursos humanos"
"Contracheque","H","Administração/Recursos humanos","Recursos humanos"
"Recursos logísticos","H","Administração","Administração"
"Alienação de bens","H","Administração","Administração"
"Obras","H","Administração","Administração"
"Fiscalização do estado","C","Administração/Fiscalização do Estado","Fiscalização do Estado"
"Governo eletrônico","C","Administração/Serviços Públicos","Serviços Públicos"
"Governo móvel","H","Administração/Serviços Públicos","Serviços Públicos"
"Organização do estado","H","Administração","Administração"
"Governo estadual","H","Administração","Administração"
"Governo federal","H","Administração","Administração"
"Governo municipal","H","Administração","Administração"
"Ministério público","H","Administração","Administração"
"Organização territorial","H","Administração","Administração"
"Poderes do estado","H","Administração","Administração"
"Poder executivo","H","Administração","Administração"
"Poder judiciário","H","Administração","Administração"
"Poder legislativo","H","Administração","Administração"
"Política","H","Administração","Administração"
"Ética política","H","Administração","Administração"
"Organização política","H","Administração","Administração"
"Partidos políticos","H","Administração","Administração"
"Regime político","H","Administração","Administração"
"Sistema eleitoral","H","Administração","Administração"
"Sistema político","H","Administração","Administração"
"Habitação, Saneamento e Urbanismo","M","Habitação, Saneamento",""
"Habitação","C","Habitação","Habitação"
"Casa própria","H","Habitação","Habitação"
"Financiamento habitacional","H","Habitação","Habitação"
"Seguro habitacional","H","Habitação","Habitação"
"Transferência de imóvel","H","Habitação","Habitação"
"Planejamento urbano","C","Urbanismo","Urbanismo"
"Ocupação e uso do solo","H","Urbanismo","Urbanismo"
"Saneamento urbano","C","Saneamento/Saneamento Básico Urbano","Saneamento Básico Urbano"
"Gestão da água","H","Saneamento/Saneamento Básico Urbano","Saneamento Básico Urbano"
"Drenagem pluvial","H","Saneamento/Saneamento Básico Urbano","Saneamento Básico Urbano"
"Tratamento de água","H","Saneamento/Saneamento Básico Urbano","Saneamento Básico Urbano"
"Tratamento de esgoto","H","Saneamento/Saneamento Básico Urbano","Saneamento Básico Urbano"
"Gestão de resíduos sólidos","C","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Coleta seletiva","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Aterro sanitário","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Coleta domiciliar (rotas, datas e horários)","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Compra de lixo","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Lixo tóxico","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Limpeza urbana","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Tratamento de resíduos sólidos","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Serviços Urbanos","C","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Água","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Iluminação pública","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Troca de lâmpadas","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Luz","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Telefonia","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Transportes coletivos","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Cartão transporte","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Horário ônibus","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Isenção tarifária","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Itinerários transportes coletivos","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Metrô","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Passe escolar","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Pesquisa comportamental no transporte coletivo","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Rodoviário","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Concessão aos taxistas","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Moto frete","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Transporte escolar","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Trem metropolitano","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Urbanismo","C","Urbanismo","Urbanismo"
"Concessões","C","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Concessões de equipamentos urbanos","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Comércio em parques","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Feiras iivres","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Mercado municipal","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Consulta comercial","C","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Alvará de funcionamento","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Consulta protocolo","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Recurso ao conselho municipal de urbanismo","H","Urbanismo/Serviços Urbanos","Serviços Urbanos"
"Imóveis","H","Urbanismo","Urbanismo"
"Ampliação","H","Urbanismo","Urbanismo"
"Conclusão de obra","H","Urbanismo","Urbanismo"
"Construção","H","Urbanismo","Urbanismo"
"Declaração de localização de imóveis","H","Urbanismo","Urbanismo"
"Demolição","H","Urbanismo","Urbanismo"
"Parcelamento de solo","H","Urbanismo","Urbanismo"
"Plantas de imóveis","H","Urbanismo","Urbanismo"
"Potencial construtivo","H","Urbanismo","Urbanismo"
"Preservação de bosques e imóveis","H","Urbanismo","Urbanismo"
"Reforma de imóveis","H","Urbanismo","Urbanismo"
"Tombamento histórico","H","Urbanismo","Urbanismo"
"Publicidade ao ar livre","H","Urbanismo","Urbanismo"
"Documentos de publicidade ao ar livre","H","Urbanismo","Urbanismo"
"Especificação do projeto de publicidade","H","Urbanismo","Urbanismo"
"Legislação de publicidade ao ar livre","H","Urbanismo","Urbanismo"
"Procedimentos para publicidade ao ar livre","H","Urbanismo","Urbanismo"
"Requerimento de publicidade ao ar livre","H","Urbanismo","Urbanismo"
"Indústria","C","Indústria","Indústria"
"Política e gestão industrial","H","Indústria","Indústria"
"Conservação da energia","C","Energia","Energia"
"Normalização e qualidade","C","Administração/Normalização e Qualidade","Normalização e Qualidade"
"Promoção industrial","H","Indústria","Indústria"
"Propriedade industrial","C","Indústria/Produção Industrial","Produção Industrial"
"Regulamentação industrial","H","Indústria","Indústria"
"Tecnologia industrial","H","Indústria","Indústria"
"Produção Industrial","C","Indústria/Propriedade Industrial","Propriedade Industrial"
"Agroindústria","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria sucroalcooleira","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Construção civil","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria alimentar","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Tecnologia de alimentos","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria cerâmica","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria couro-calçadista","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria cultural","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria de arma e munição","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria de celulose e papel","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria de equipamentos médico-hospitalares","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria eletro-eletrônica","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria extrativa","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria farmacêutica","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria madeireira e movelaria","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria mecânica e metalúrgica","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria automobilística","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria naval","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria química e petroquímica","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Indústria têxteis","H","Indústria/Propriedade Industrial","Propriedade Industrial"
"Recursos energéticos","C","Energia","Energia"
"Álcool","C","Energia/Combustíveis","Combustíveis"
"Bioenergia","C","Energia/Combustíveis","Combustíveis"
"Biocombustível","H","Energia/Combustíveis","Combustíveis"
"Energia elétrica","C","Energia/Energia elétrica","Energia elétrica"
"Energio nuclear","C","Energia/Combustíveis","Combustíveis"
"Gás","C","Energia/Combustíveis","Combustíveis"
"Petróleo","C","Energia/Combustíveis","Combustíveis"
"Justiça e Legislação","X","",""
"Justiça","X","",""
"Ação judiciária","X","",""
"Assistência jurídica gratuita","X","",""
"Defesa da ordem jurídica","X","",""
"Defesa do interesse publico","X","",""
"Recuperação de ativos","X","",""
"Sentença judicial","X","",""
"Anistia política","X","",""
"Conselhos de justiça","X","",""
"Execução penal","X","",""
"Assistência social ao preso e a família","X","",""
"Autorização de saída","X","",""
"Educação do preso","X","",""
"Órgãos de execução penal","X","",""
"Cadeias","X","",""
"Casa de albergados","X","",""
"Centro de triagem","X","",""
"Hospital de custódia","X","",""
"Penitenciarias","X","",""
"Presídios","X","",""
"Penas alternativas","X","",""
"Regime de execução de pena","X","",""
"Regima aberto","X","",""
"Regime fechado","X","",""
"Regime semi-aberto","X","",""
"Saúde do preso","X","",""
"Trabalho do preso","X","",""
"Formação de pessoal penal e penitenciário","X","",""
"Modernização dos órgãos de justiça e estabelecimentos penais","X","",""
"Política nacional de justiça","X","",""
"Reforma do judiciário","X","",""
"Ressocialização do egresso","X","",""
"Sistema judicial","X","",""
"Acompanhamento processual","X","",""
"Poder judiciário","X","",""
"Representação judicial e extrajudicial","X","",""
"Tribunais de justiça","X","",""
"Legislação e jurisprudência","X","",""
"Jurisprudência","X","",""
"Tribunais de alçada","X","",""
"Tribunais estaduais","X","",""
"Tribunais federais","X","",""
"Tribunais superiores","X","",""
"Legislação","X","",""
"Legislação estadual","X","",""
"Legislação federal","X","",""
"Legislação internacional","X","",""
"Legislação municipal","X","",""
"Projetos de lei","X","",""
"Projeto de lei estadual","X","",""
"Projeto de lei federal","X","",""
"Projeto de lei municipal","X","",""
"Meio ambiente","C","Meio ambiente","Meio ambiente"
"Águas","C","Meio ambiente/Água","Água"
"Águas de chuva","H","Meio ambiente/Água","Água"
"Águas subterrâneas","H","Meio ambiente/Água","Água"
"Águas superficiais","H","Meio ambiente/Água","Água"
"Águas transfronteriças","H","Meio ambiente/Água","Água"
"Bacias hidrográficas","H","Meio ambiente/Água","Água"
"Revitalização de bacias hidrográficas","H","Meio ambiente/Água","Água"
"Alto Paraguai","H","Meio ambiente/Água","Água"
"Paraíba do Sul","H","Meio ambiente/Água","Água"
"São Francisco","H","Meio ambiente/Água","Água"
"Tocantins-Araguaia","H","Meio ambiente/Água","Água"
"Disponibilidade de água","H","Meio ambiente/Água","Água"
"Demanda de água","H","Meio ambiente/Água","Água"
"Oferta de água","H","Meio ambiente/Água","Água"
"Qualidade de água","H","Meio ambiente/Água","Água"
"Quantidade de água","H","Meio ambiente/Água","Água"
"Estudos hidrometeorológicos","H","Meio ambiente/Água","Água"
"Eventos críticos (secas e enchentes)","H","Meio ambiente/Água","Água"
"Gestão dos recursos hídricos","H","Meio ambiente/Água","Água"
"Instrumentos para gestão de recursos hídricos","H","Meio ambiente/Água","Água"
"Cobrança pelo uso da água","H","Meio ambiente/Água","Água"
"Enquadramento dos corpos de água em classes de uso","H","Meio ambiente/Água","Água"
"Outorga dos direitos de uso de recursos hídricos","H","Meio ambiente/Água","Água"
"Planos de recursos hídricos","H","Meio ambiente/Água","Água"
"Sistema de informações sobre recursos hídricos","H","Meio ambiente/Água","Água"
"Recursos hídricos transfronteiriços","H","Meio ambiente/Água","Água"
"Acordos e tratados de cooperação internacionais","H","Meio ambiente/Água","Água"
"Águas transfronteiriças","H","Meio ambiente/Água","Água"
"Sistema nacional de gerenciamento de recursos hídricos","H","Meio ambiente/Água","Água"
"Agência de água","H","Meio ambiente/Água","Água"
"Comitês de bacias hidrográficas","H","Meio ambiente/Água","Água"
"Conselho nacional de recursos hídricos","H","Meio ambiente/Água","Água"
"Conselhos estaduais de recursos hídricos","H","Meio ambiente/Água","Água"
"Órgãos públicos gestores de recursos hídricos","H","Meio ambiente/Água","Água"
"Usos múltiplos de recursos hídricos","H","Meio ambiente/Água","Água"
"Abastecimento de água","H","Meio ambiente/Água","Água"
"Aquicultura e pesca","H","Meio ambiente/Água","Água"
"Geração de energia hidrelétrica","H","Meio ambiente/Água","Água"
"Recursos hídricos na agropecuária","H","Meio ambiente/Água","Água"
"Recursos hídricos na indústria","H","Meio ambiente/Água","Água"
"Transporte aquaviário","H","Meio ambiente/Água","Água"
"Proteção e conservação de água","H","Meio ambiente/Água","Água"
"Regiões hidrográficas","H","Meio ambiente/Água","Água"
"Amazônica","H","Meio ambiente/Água","Água"
"Atlântico leste","H","Meio ambiente/Água","Água"
"Atlântico nordeste ocidental","H","Meio ambiente/Água","Água"
"Atlântico nordeste oriental","H","Meio ambiente/Água","Água"
"Atlântico sudeste","H","Meio ambiente/Água","Água"
"Atlântico sul","H","Meio ambiente/Água","Água"
"Paraguai","H","Meio ambiente/Água","Água"
"Paraná","H","Meio ambiente/Água","Água"
"Parnaíba","H","Meio ambiente/Água","Água"
"São Francisco","H","Meio ambiente/Água","Água"
"Tocantins-Araguaia","H","Meio ambiente/Água","Água"
"Uruguai","H","Meio ambiente/Água","Água"
"Reuso e reaproveitamento de água","H","Meio ambiente/Água","Água"
"Segurança hídrica","H","Meio ambiente/Água","Água"
"Doenças de veiculação hídrica","H","Meio ambiente/Água","Água"
"Regiões com balanço deficitário de recursos hídricos","H","Meio ambiente/Água","Água"
"Ambientes ocupados pelo homem","C","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Áreas protegidas","C","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Área de preservação permanente (APP)","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Mananciais","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Restauração e preservação","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Áreas ambientalmente sensíveis","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Áreas prioritárias para a biodiversidade","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Áreas protegidas com reconhecimento internacional","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Corredores ecológicos","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Corredor central da amazônia (CCA)","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Corredor central da mata atlântica (CCMA)","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Gestão das unidades de conservação","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Consolidação territorial","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Regularização fundiária","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Criação de unidades de conservação","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Entorno das unidades de conservação","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Geração de renda nas unidades de conservação","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Ecoturismo","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Produtos e subprodutos da flora e da fauna","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Uso público das unidades de conservação","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Manejo nas unidades de conservação","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Gestão de áreas protegidas","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Reserva legal","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Recuperação e manejo sustentável","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Sistema de mosaicos de áreas protegidas","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Unidades de conservação (UCS)","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
"Proteção integral","H","Meio ambiente/Preservação e Conservação Ambiental","Preservação e Conservação Ambiental"
